case_id,instance_id,outer_ms,predicted_accounted_ms,observed_accounted_ms,unaccounted_ms_diagnostic_only,e2e_error_percent,within25
assignment-production-v2:ee4fc39eafebc5d7c2ea1dce540d511f472d14ec3c13b9c8a70c78b3b4340129,astropy__astropy-14182,149770.617235,125552.43811249756,136235.8811020001,13534.736132999911,16.1701804864051,True
assignment-production-v2:648009374f4193ea13938de660cec315c8e9402e8e50dddfd752d3b735a57023,astropy__astropy-14995,190203.739798,130918.20018213485,179781.59186700004,10422.147930999956,31.169492081926208,False
assignment-production-v2:d204afe54b23a1ef26e269881f1cc7a74c1eb78a4799bc75846b78530c3a9ad3,astropy__astropy-6938,170980.177335,141279.41693582255,157451.21149799993,13528.965837000054,17.37087939789944,True
assignment-production-v2:89114c6e95ca38ffe2b961132463d2c11023bcb8221aef85021a0a4a7d0590d6,astropy__astropy-6938,112531.932544,101807.62350727363,103919.42896999998,8612.503574000017,9.530014098472146,True
assignment-production-v2:ec5c4b4fde38778eb803cd1ab5875d3ec95d7edaeaf43cf61f40fa4cf3e9d432,astropy__astropy-6938,133798.431287,110750.11258242716,123187.36950299997,10611.061784000049,17.226150174461914,True
assignment-production-v2:eea38a38eb6accd51fbcfcef363b6905ab95c04d996c3dd21f622d6d01f0d8c2,astropy__astropy-6938,158381.255048,130258.38885648067,145701.374616,12679.880432000005,17.756436001846453,True
assignment-production-v2:5fb250ecad9f9bb5fb41c816669933e6b341754ef0b9f696bf6a11bf79310751,astropy__astropy-6938,188114.86876,153188.60075977596,173999.12386999992,14115.744890000089,18.56645794691729,True
assignment-production-v2:2b43d2ae82642dc460d329a3f3ec9cffdc58aa4359b573788c0c80c08ca0615d,astropy__astropy-6938,172808.616008,132366.4729604359,162293.66437400007,10514.951633999939,23.40285107409915,True
assignment-production-v2:35a637c4950b3afde20e98bee4717c36a8766b6383da5440e822ccf4cd03e48b,astropy__astropy-6938,159142.226538,130857.9384858684,146193.927794,12948.298744,17.77296237927013,True
assignment-production-v2:42daecc96b509715a48d2b37e541693868db50c1af222eb38ff92877c28af7d8,astropy__astropy-6938,148818.80965,117042.962198325,136678.41006799997,12140.399582000042,21.352037102303896,True
assignment-production-v2:f5211968b925e2a58e91c89875b00c879c97bb86a6e6284cb1d7b5b38ee0436e,astropy__astropy-6938,179190.314733,133897.94164882708,167354.20962300006,11836.105109999946,25.27612787089536,False
assignment-production-v2:5d2eb13337f0a01131fe2f464ddaa794e45baf57cb8c5252d77fab7d262a2e96,astropy__astropy-6938,172852.787315,150333.610403056,162843.35540300002,10009.43191199997,13.027951276774004,True
assignment-production-v2:2bfbb7b400990ecc54cde359dfc03656c4643eec2602642318476f227be54b31,astropy__astropy-6938,126906.912987,102667.34455336769,118496.84100099996,8410.071986000039,19.100274258594055,True
