category,n_runs,n_instances,official_resolved_n,official_resolved_percent,mean_observed_e2e_s,mean_proxy_ratio,e2e_model_within25_percent,observed_tool_wall_s,observed_gpu_proxy_wall_s
astropy/astropy,22,20,7,31.818181818181817,182.2102282139091,0.5811536402930431,59.09090909090909,495.2315544778248,909.3770581220001
django/django,268,235,109,40.67164179104478,160.86186464808955,0.366830339077717,69.77611940298507,4362.355433904627,14187.006051146993
matplotlib/matplotlib,42,38,16,38.095238095238095,197.39954805630953,0.6459100861721953,42.857142857142854,1034.3366982890948,1683.832786524
mwaskom/seaborn,5,5,1,20.0,165.2365529306,0.46304135236525135,40.0,97.56237217504167,205.169820573
pallets/flask,4,4,1,25.0,134.5822332315,0.24408905086245244,100.0,34.960247064969735,160.58925754999999
psf/requests,10,9,7,70.0,237.7325839684,0.42092925406908804,60.0,172.9266288858562,399.786576136
pydata/xarray,17,17,6,35.294117647058826,181.69873298064707,1.0589594744112947,47.05882352941177,775.6053565276669,710.1235807319999
pylint-dev/pylint,14,13,4,28.571428571428573,151.97326492728573,0.5721553325441723,71.42857142857143,359.1264037309811,703.0682245080001
pytest-dev/pytest,20,19,7,35.0,138.0395674923,0.4836367949316968,85.0,363.03682572290194,851.2330969569999
scikit-learn/scikit-learn,42,34,30,71.42857142857143,139.13807356271428,0.624152638950411,76.19047619047619,1111.1098869345,1982.354642187
sphinx-doc/sphinx,47,46,11,23.404255319148938,159.81383468051064,0.3495703809316264,63.829787234042556,699.2180500645155,2159.1882961349993
sympy/sympy,124,105,37,29.838709677419356,114.82685968466129,0.38378419311047035,67.74193548387096,1925.060429097404,5453.572717398999
