run_id,instance_id,category,official_resolved,match_mode,source_run_id,source_instance_id,source_config_id
assignment-case-v1:003fb85dfbc99179e5ea2986e1ca936c6dfa5dea71d2405a1bdc9ed2cdfb75c9,scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,True,exact_run_id,assignment-case-v1:003fb85dfbc99179e5ea2986e1ca936c6dfa5dea71d2405a1bdc9ed2cdfb75c9,scikit-learn__scikit-learn-25232,shared-baseline
assignment-case-v1:0050fdfd5f21bfa855b0f03a76b55ed7c6a76b53e26d65eed59a0a698f0712c2,sympy__sympy-12419,sympy/sympy,False,exact_run_id,assignment-case-v1:0050fdfd5f21bfa855b0f03a76b55ed7c6a76b53e26d65eed59a0a698f0712c2,sympy__sympy-12419,shared-baseline
assignment-case-v1:00ba3a406cd67bc21b7a5aa182a6ca15a3df1821ca94ad8d8e2e671e42032c9d,sympy__sympy-19954,sympy/sympy,True,exact_run_id,assignment-case-v1:00ba3a406cd67bc21b7a5aa182a6ca15a3df1821ca94ad8d8e2e671e42032c9d,sympy__sympy-19954,shared-baseline
assignment-case-v1:012b1d6bec9cb005da8283490eb20ce2370ac8ec397a0a0878a9a9c6213c1a01,django__django-13401,django/django,True,exact_run_id,assignment-case-v1:012b1d6bec9cb005da8283490eb20ce2370ac8ec397a0a0878a9a9c6213c1a01,django__django-13401,shared-baseline
assignment-case-v1:01d6ece3299ee960efab99aa2c46d0fecb08905a294eb77c96f110a04b7bb29a,sympy__sympy-19346,sympy/sympy,True,exact_run_id,assignment-case-v1:01d6ece3299ee960efab99aa2c46d0fecb08905a294eb77c96f110a04b7bb29a,sympy__sympy-19346,shared-baseline
assignment-case-v1:02cf3ad4fa8a2e6c60f7292944545b25f005866b0b4316aec1c8b8c86557dd3c,sympy__sympy-13647,sympy/sympy,True,exact_run_id,assignment-case-v1:02cf3ad4fa8a2e6c60f7292944545b25f005866b0b4316aec1c8b8c86557dd3c,sympy__sympy-13647,shared-baseline
assignment-case-v1:03f146f02750595e40d79df3736614566ddc3784d5a583c40762ce12b292f7aa,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,True,exact_run_id,assignment-case-v1:03f146f02750595e40d79df3736614566ddc3784d5a583c40762ce12b292f7aa,sphinx-doc__sphinx-9367,shared-baseline
assignment-case-v1:04201a5dcfa4bdb6e47e9f64be40158628b25facb8c2c45736ef1f1aecfef788,django__django-11740,django/django,False,exact_run_id,assignment-case-v1:04201a5dcfa4bdb6e47e9f64be40158628b25facb8c2c45736ef1f1aecfef788,django__django-11740,shared-baseline
assignment-case-v1:04d239f074d9a6a911c217b89bd882114df70d2d2f2167ec19dec6da087c179f,django__django-16527,django/django,True,exact_run_id,assignment-case-v1:04d239f074d9a6a911c217b89bd882114df70d2d2f2167ec19dec6da087c179f,django__django-16527,shared-baseline
assignment-case-v1:0594f0cf1237c4056e7441e50ade1acd55dc653998725a46eef43acc220f6698,django__django-12276,django/django,True,exact_run_id,assignment-case-v1:0594f0cf1237c4056e7441e50ade1acd55dc653998725a46eef43acc220f6698,django__django-12276,shared-baseline
assignment-case-v1:05ceffc69c44e8fbeeceffda66a28f24d25ecaae234d55bc34e74002a10189b8,django__django-17084,django/django,False,exact_run_id,assignment-case-v1:05ceffc69c44e8fbeeceffda66a28f24d25ecaae234d55bc34e74002a10189b8,django__django-17084,shared-baseline
assignment-case-v1:05f8e4a4ce4ec70f680215feacba3633096259501825e113c12879fa05123206,sympy__sympy-13437,sympy/sympy,False,exact_run_id,assignment-case-v1:05f8e4a4ce4ec70f680215feacba3633096259501825e113c12879fa05123206,sympy__sympy-13437,shared-baseline
assignment-case-v1:0605eeb81491a60be905d83b2e841d6c9e29173935db8b006d810f6fd6f54b1e,django__django-12453,django/django,True,exact_run_id,assignment-case-v1:0605eeb81491a60be905d83b2e841d6c9e29173935db8b006d810f6fd6f54b1e,django__django-12453,shared-baseline
assignment-case-v1:0645b1a474b4d2ddb9f4ca771dd1c29d5550846e02b8c5569eae688b3ffe0898,sympy__sympy-21612,sympy/sympy,False,exact_run_id,assignment-case-v1:0645b1a474b4d2ddb9f4ca771dd1c29d5550846e02b8c5569eae688b3ffe0898,sympy__sympy-21612,shared-baseline
