run_id,instance_id,category,official_resolved,outcome_match_mode,outer_fold,observed_tool_wall_ms,observed_gpu_proxy_wall_ms,observed_e2e_ms,proxy_ratio,e2e_model_within25,predicted_tool_wall_ms,predicted_gpu_proxy_wall_ms,predicted_e2e_ms
assignment-case-v1:003fb85dfbc99179e5ea2986e1ca936c6dfa5dea71d2405a1bdc9ed2cdfb75c9,scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,True,exact_run_id,2,45554.20019099256,44271.954962,208202.901016,1.0289629231438537,False,9513.87304335367,19162.8857395,125168.74167399999
assignment-case-v1:0050fdfd5f21bfa855b0f03a76b55ed7c6a76b53e26d65eed59a0a698f0712c2,sympy__sympy-12419,sympy/sympy,False,exact_run_id,3,10852.892054012045,30489.949162999997,86831.359052,0.3559498245140464,False,7406.737903984322,19062.72243000001,124252.1253105
assignment-case-v1:00ba3a406cd67bc21b7a5aa182a6ca15a3df1821ca94ad8d8e2e671e42032c9d,sympy__sympy-19954,sympy/sympy,True,exact_run_id,3,11694.90805407986,52850.200279,105395.835818,0.2212840820345354,True,11338.264916012122,19062.72243000001,124252.1253105
assignment-case-v1:012b1d6bec9cb005da8283490eb20ce2370ac8ec397a0a0878a9a9c6213c1a01,django__django-13401,django/django,True,exact_run_id,4,11444.18193004094,37086.65050600001,110565.857865,0.30857955015887617,True,9245.664196167127,19033.337498999997,124919.82762699999
assignment-case-v1:01d6ece3299ee960efab99aa2c46d0fecb08905a294eb77c96f110a04b7bb29a,sympy__sympy-19346,sympy/sympy,True,exact_run_id,3,19428.223882001475,51256.901072,116177.72439,0.3790362561074628,True,14329.473064044578,19062.72243000001,124252.1253105
assignment-case-v1:02cf3ad4fa8a2e6c60f7292944545b25f005866b0b4316aec1c8b8c86557dd3c,sympy__sympy-13647,sympy/sympy,True,exact_run_id,3,8913.610514049651,58975.804862000005,118598.766853,0.15114012491914247,True,9884.030209514094,19062.72243000001,124252.1253105
assignment-case-v1:03f146f02750595e40d79df3736614566ddc3784d5a583c40762ce12b292f7aa,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,True,exact_run_id,0,5442.955667989736,43721.891198,89869.912492,0.12449039871904528,False,8708.586292008476,15433.502275,125970.234473
assignment-case-v1:04201a5dcfa4bdb6e47e9f64be40158628b25facb8c2c45736ef1f1aecfef788,django__django-11740,django/django,False,exact_run_id,2,16390.18941199174,47922.268347,151540.73886,0.3420161435871971,True,7465.344388623635,19162.8857395,125168.74167399999
assignment-case-v1:04d239f074d9a6a911c217b89bd882114df70d2d2f2167ec19dec6da087c179f,django__django-16527,django/django,True,exact_run_id,4,18808.411621990672,60938.343491,143821.577343,0.3086465851302389,True,11353.24927216243,18419.358869999996,124919.82762699999
assignment-case-v1:0594f0cf1237c4056e7441e50ade1acd55dc653998725a46eef43acc220f6698,django__django-12276,django/django,True,exact_run_id,4,15174.463649047539,58500.432399000005,131803.505397,0.25939062374019184,True,8907.787975123938,19033.337498999997,124919.82762699999
assignment-case-v1:05ceffc69c44e8fbeeceffda66a28f24d25ecaae234d55bc34e74002a10189b8,django__django-17084,django/django,False,exact_run_id,0,6398.251155987964,74547.19017500001,140082.16595,0.08582820011013195,True,5032.927644020674,19137.542820999995,125970.234473
assignment-case-v1:05f8e4a4ce4ec70f680215feacba3633096259501825e113c12879fa05123206,sympy__sympy-13437,sympy/sympy,False,exact_run_id,1,26156.02485200361,26003.099385,110749.618115,1.00588104766818,True,6565.721132126782,19076.611453,124452.596539
assignment-case-v1:0605eeb81491a60be905d83b2e841d6c9e29173935db8b006d810f6fd6f54b1e,django__django-12453,django/django,True,exact_run_id,1,29521.349211991037,33432.629352,135846.166633,0.883010094754184,True,8692.377095885604,19076.611453,124452.596539
