parameter,setting,n_pairs,n_instance_clusters,baseline_mean_e2e_s,treatment_mean_e2e_s,baseline_resolved_rate_percent,treatment_resolved_rate_percent,baseline_resolved_n,treatment_resolved_n
call_limit,10,18,17,200.994,74.869,72.22222222222223,0.0,13,0
call_limit,20,18,17,200.994,101.477,72.22222222222223,61.111111111111114,13,11
call_limit,50,18,17,200.994,192.637,72.22222222222223,72.22222222222223,13,13
max_output_tokens,1024,18,17,200.994,122.43,72.22222222222223,66.66666666666667,13,12
max_output_tokens,4096,18,17,200.994,156.119,72.22222222222223,61.111111111111114,13,11
max_output_tokens,512,18,17,200.994,117.927,72.22222222222223,44.44444444444444,13,8
observation_length,10000,18,17,200.994,171.427,72.22222222222223,55.55555555555556,13,10
observation_length,25000,18,17,200.994,137.009,72.22222222222223,72.22222222222223,13,13
observation_length,50000,18,17,200.994,121.665,72.22222222222223,66.66666666666667,13,12
temperature,0.2,18,17,200.994,126.8,72.22222222222223,66.66666666666667,13,12
temperature,0.5,18,17,200.994,120.012,72.22222222222223,50.0,13,9
temperature,0.8,18,17,200.994,125.977,72.22222222222223,55.55555555555556,13,10
