event_kind,event_index,event_id,operation_class,request_id,input_tokens,output_tokens,context_tokens,observed_ms,predicted_ms,within25,boundary
cpu_tool_wall_proxy,1,assignment-case-v1:d7cce24c718deaf5c5325120fb37feed1651e0b61fc7f4416cddfc155860d274-tool-0000,traversal,,,,,199.9755299766548,215.56197899917606,True,historical tool event wall; not atomic CPU operation
cpu_tool_wall_proxy,2,assignment-case-v1:d7cce24c718deaf5c5325120fb37feed1651e0b61fc7f4416cddfc155860d274-tool-0001,traversal,,,,,205.542787007289,215.56197899917606,True,historical tool event wall; not atomic CPU operation
cpu_tool_wall_proxy,3,assignment-case-v1:d7cce24c718deaf5c5325120fb37feed1651e0b61fc7f4416cddfc155860d274-tool-0002,traversal,,,,,165.16420900006779,215.56197899917606,False,historical tool event wall; not atomic CPU operation
cpu_tool_wall_proxy,4,assignment-case-v1:d7cce24c718deaf5c5325120fb37feed1651e0b61fc7f4416cddfc155860d274-tool-0003,traversal,,,,,166.6994889965281,215.56197899917606,False,historical tool event wall; not atomic CPU operation
cpu_tool_wall_proxy,5,assignment-case-v1:d7cce24c718deaf5c5325120fb37feed1651e0b61fc7f4416cddfc155860d274-tool-0004,shell,,,,,608.2139470090624,655.3286845028197,True,historical tool event wall; not atomic CPU operation
cpu_tool_wall_proxy,6,assignment-case-v1:d7cce24c718deaf5c5325120fb37feed1651e0b61fc7f4416cddfc155860d274-tool-0005,shell,,,,,30744.046904990682,655.3286845028197,False,historical tool event wall; not atomic CPU operation
cpu_tool_wall_proxy,7,assignment-case-v1:d7cce24c718deaf5c5325120fb37feed1651e0b61fc7f4416cddfc155860d274-tool-0006,shell,,,,,30745.832554006483,655.3286845028197,False,historical tool event wall; not atomic CPU operation
gpu_request_proxy_wall,1,request-411a586735f54baab17d5fc681e2fbc2,,request-411a586735f54baab17d5fc681e2fbc2,1786,90,1786,638.736442,614.92653,True,historical completed-request proxy; not native queue/prefill/decode
gpu_request_proxy_wall,2,request-2e388debd92a40c8b9f2302955428b03,,request-2e388debd92a40c8b9f2302955428b03,3081,47,3081,392.810056,614.92653,False,historical completed-request proxy; not native queue/prefill/decode
gpu_request_proxy_wall,3,request-7b4822476eb141b0af19d6793d247276,,request-7b4822476eb141b0af19d6793d247276,5754,93,5754,747.073121,614.92653,True,historical completed-request proxy; not native queue/prefill/decode
gpu_request_proxy_wall,4,request-ff3bccd36ab6401ebd5f9054cd7c2487,,request-ff3bccd36ab6401ebd5f9054cd7c2487,5885,58,5885,458.63772,614.92653,False,historical completed-request proxy; not native queue/prefill/decode
gpu_request_proxy_wall,5,request-28e4f0ece4ba452a97395bbfcef21a6e,,request-28e4f0ece4ba452a97395bbfcef21a6e,6083,55,6083,448.902378,614.92653,False,historical completed-request proxy; not native queue/prefill/decode
gpu_request_proxy_wall,6,request-74aaccda0cd84585bb538334997f0312,,request-74aaccda0cd84585bb538334997f0312,9724,50,9724,546.452133,614.92653,True,historical completed-request proxy; not native queue/prefill/decode
gpu_request_proxy_wall,7,request-1199f26066cd46f79ec467422e412588,,request-1199f26066cd46f79ec467422e412588,9835,51,9835,442.66734,614.92653,False,historical completed-request proxy; not native queue/prefill/decode
gpu_request_proxy_wall,8,request-16cd476c947846dabf2016b89bafc874,,request-16cd476c947846dabf2016b89bafc874,9948,49,9948,430.334504,614.92653,False,historical completed-request proxy; not native queue/prefill/decode
