parameter,setting,n_pairs,n_instance_clusters,baseline_mean_e2e_s,treatment_mean_e2e_s,mean_paired_delta_s,median_paired_delta_s,treatment_faster,treatment_slower,ties,baseline_resolved_n,treatment_resolved_n,interpretation
call_limit,10,18,17,200.994,74.869,-126.125,-48.742,17,1,0,13,0,descriptive eligible matched pairs; no pooled baseline duplication or causal claim
call_limit,20,18,17,200.994,101.477,-99.517,-27.286,17,1,0,13,11,descriptive eligible matched pairs; no pooled baseline duplication or causal claim
call_limit,50,18,17,200.994,192.637,-8.357,27.209,6,12,0,13,13,descriptive eligible matched pairs; no pooled baseline duplication or causal claim
max_output_tokens,1024,18,17,200.994,122.430,-78.564,-3.546,11,7,0,13,12,descriptive eligible matched pairs; no pooled baseline duplication or causal claim
max_output_tokens,4096,18,17,200.994,156.119,-44.875,6.423,6,12,0,13,11,descriptive eligible matched pairs; no pooled baseline duplication or causal claim
max_output_tokens,512,18,17,200.994,117.927,-83.066,-9.040,11,7,0,13,8,descriptive eligible matched pairs; no pooled baseline duplication or causal claim
observation_length,10000,18,17,200.994,171.427,-29.566,-8.685,10,8,0,13,10,descriptive eligible matched pairs; no pooled baseline duplication or causal claim
observation_length,25000,18,17,200.994,137.009,-63.985,-1.347,10,8,0,13,13,descriptive eligible matched pairs; no pooled baseline duplication or causal claim
observation_length,50000,18,17,200.994,121.665,-79.328,-10.590,12,6,0,13,12,descriptive eligible matched pairs; no pooled baseline duplication or causal claim
temperature,0.2,18,17,200.994,126.800,-74.193,-2.065,9,9,0,13,12,descriptive eligible matched pairs; no pooled baseline duplication or causal claim
temperature,0.5,18,17,200.994,120.012,-80.982,-13.068,11,7,0,13,9,descriptive eligible matched pairs; no pooled baseline duplication or causal claim
temperature,0.8,18,17,200.994,125.977,-75.017,2.048,8,10,0,13,10,descriptive eligible matched pairs; no pooled baseline duplication or causal claim
