request_ordinal,prompt_tokens,cached_tokens,fresh_tokens,output_tokens,prefill_ms,decode_ms,queue_ms,e2e_ms,population,unit
0,1410,0,1410,100,1269.0203748643398,1062.032826244831,0.07427623495459557,2360.072612762451,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
1,3559,1504,2055,51,83.87697208672762,308.1422569230199,0.05921674892306328,393.21112632751465,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
2,5321,3600,1721,46,73.96445609629154,280.631260946393,0.05912594497203827,355.729341506958,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
3,5659,5360,299,54,43.63691993057728,330.53670171648264,0.059116166085004807,375.3662109375,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
4,6180,5712,468,56,35.656061954796314,343.4070101939142,0.04630163311958313,380.2337646484375,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
5,10696,6224,4472,161,165.17341369763017,1028.267451096326,0.051073264330625534,1194.8838233947754,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
6,11404,10848,556,52,61.70210987329483,330.354826990515,0.08115405216813087,393.6941623687744,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
7,15191,11440,3751,62,173.85115707293153,408.060641027987,0.04599196836352348,583.521842956543,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
8,15425,15248,177,54,38.41060912236571,348.66474987939,0.07115397602319717,388.77010345458984,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
9,16222,15472,750,52,73.00970098003745,337.7559860236943,0.04279380664229393,412.320613861084,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
10,16298,16272,26,71,20.620443858206272,463.9001600444317,0.04879198968410492,486.1016273498535,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
11,16969,16368,601,65,70.88792975991964,424.21902623027563,0.047291163355112076,496.64878845214844,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
12,17246,17024,222,65,39.112084079533815,425.71687791496515,0.04506204277276993,466.3987159729004,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
13,18172,17296,876,2048,77.68025109544396,13671.450565103441,0.04666810855269432,13750.775337219238,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
14,20259,20208,51,1473,24.555695243179798,9941.537491977215,0.033702701330184937,9967.866897583008,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
15,22982,21728,1254,40,103.12055004760623,271.40949899330735,0.036419834941625595,376.54590606689453,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
16,23091,23008,83,370,28.76305114477873,2518.3109808713198,0.03712298348546028,2549.070119857788,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
17,23815,23456,359,30,51.83886596933007,201.72681799158454,0.040185172110795975,255.5086612701416,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
18,23893,23840,53,112,25.234310887753963,760.5681060813367,0.03880821168422699,787.7016067504883,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
19,24222,24000,222,103,44.34868413954973,701.9752468913794,0.039901118725538254,748.3172416687012,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
20,24493,24320,173,30,38.1088531576097,201.87899377197027,0.03639794886112213,241.89281463623047,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
21,24778,24512,266,302,50.047789700329304,2074.6945082210004,0.04170695319771767,2126.68776512146,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
22,25436,25072,364,1573,53.46810398623347,10925.973310600966,0.05329027771949768,11014.729738235474,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
23,27033,27008,25,42,22.771650925278664,288.96689182147384,0.03420887514948845,313.83252143859863,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
24,28227,27072,1155,250,109.23831397667527,1752.4708257988095,0.035881996154785156,1863.8889789581299,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
25,28660,28464,196,357,46.77593894302845,2508.6971782147884,0.06483914330601692,2557.6846599578857,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
26,29383,29008,375,519,56.703015230596066,3664.3124585971236,0.06373878568410873,3723.2534885406494,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
27,29932,29888,44,30,26.224291883409023,207.81848300248384,0.036259181797504425,236.27591133117676,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
28,30085,29952,133,110,40.72565818205476,776.254998985678,0.033750664442777634,819.1709518432617,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
29,30230,30192,38,60,24.827024899423122,419.9424399994314,0.04073185846209526,447.0527172088623,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
30,30341,30288,53,60,26.935021858662367,423.09358110651374,0.04900433123111725,452.2726535797119,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
31,30441,30400,41,245,26.36842615902424,1735.6480876915157,0.050348229706287384,1764.2614841461182,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
32,30925,30672,253,254,45.424096286296844,1800.4627907648683,0.03545079380273819,1848.128080368042,"40 physical native requests, one retained confirmation fixture (descriptive only; excluded from fitting)",tokens or milliseconds as named; native engine service wall
