coarse_coverage_proportion,delta_percentage_points,fold,hybrid_coverage_proportion,metric,n_clusters,n_events,original_class,scope
0.6626380495936653,2.4171702438007925,0,0.6868097520316733,event_weighted_coverage,113,4799,,all
0.703967427667971,1.4151991682587517,0,0.7181194193505586,instance_weighted_coverage,113,4799,,all
0.0,0.0,0,0.0,strict_all_events_gate,113,4799,,all
0.912751677852349,0.3355704697986517,0,0.9161073825503355,event_weighted_coverage,97,298,patch,original_class
0.9011863852070039,0.8877434135166173,0,0.9100638193421701,instance_weighted_coverage,97,298,patch,original_class
0.8144329896907216,1.0309278350515427,0,0.8247422680412371,strict_all_events_gate,97,298,patch,original_class
0.9475982532751092,2.008733624454151,0,0.9676855895196507,event_weighted_coverage,112,1145,read,original_class
0.960108964427142,2.125538982437347,0,0.9813643542515155,instance_weighted_coverage,112,1145,read,original_class
0.7321428571428571,8.03571428571429,0,0.8125,strict_all_events_gate,112,1145,read,original_class
0.9319526627218935,0.0,0,0.9319526627218935,event_weighted_coverage,104,676,search,original_class
0.921791154616088,0.0,0,0.921791154616088,instance_weighted_coverage,104,676,search,original_class
0.7596153846153846,0.0,0,0.7596153846153846,strict_all_events_gate,104,676,search,original_class
0.2533215234720992,8.148804251550047,0,0.33480956598759964,event_weighted_coverage,108,1129,shell,original_class
0.2853845385044507,4.007397101845439,0,0.3254585095229051,instance_weighted_coverage,108,1129,shell,original_class
0.009259259259259259,0.0,0,0.009259259259259259,strict_all_events_gate,108,1129,shell,original_class
0.1419141914191419,0.0,0,0.1419141914191419,event_weighted_coverage,65,303,test,original_class
0.11002331002331002,0.0,0,0.11002331002331002,instance_weighted_coverage,65,303,test,original_class
0.03076923076923077,0.0,0,0.03076923076923077,strict_all_events_gate,65,303,test,original_class
0.5014792899408284,0.0,0,0.5014792899408284,event_weighted_coverage,113,676,traversal,original_class
0.5263481715575522,0.0,0,0.5263481715575522,instance_weighted_coverage,113,676,traversal,original_class
0.11504424778761062,0.0,0,0.11504424778761062,strict_all_events_gate,113,676,traversal,original_class
0.9178321678321678,0.0,0,0.9178321678321678,event_weighted_coverage,109,572,write,original_class
0.9109947447836121,0.0,0,0.9109947447836121,instance_weighted_coverage,109,572,write,original_class
0.7522935779816514,0.0,0,0.7522935779816514,strict_all_events_gate,109,572,write,original_class
0.6548406494287432,0.4509921828021679,1,0.6593505712567649,event_weighted_coverage,94,3326,,all
0.6549309946747638,0.3414361890683004,1,0.6583453565654468,instance_weighted_coverage,94,3326,,all
0.0,0.0,1,0.0,strict_all_events_gate,94,3326,,all
0.9507389162561576,-0.9852216748768461,1,0.9408866995073891,event_weighted_coverage,79,203,patch,original_class
0.9380650994575046,-1.2658227848101333,1,0.9254068716094033,instance_weighted_coverage,79,203,patch,original_class
0.8860759493670886,-1.2658227848101222,1,0.8734177215189873,strict_all_events_gate,79,203,patch,original_class
0.9277777777777778,1.8888888888888844,1,0.9466666666666667,event_weighted_coverage,91,900,read,original_class
0.9245687519897684,1.5869892088985371,1,0.9404386440787538,instance_weighted_coverage,91,900,read,original_class
0.6923076923076923,3.296703296703296,1,0.7252747252747253,strict_all_events_gate,91,900,read,original_class
0.8931818181818182,0.0,1,0.8931818181818182,event_weighted_coverage,79,440,search,original_class
0.8467442919165026,0.0,1,0.8467442919165026,instance_weighted_coverage,79,440,search,original_class
0.6835443037974683,0.0,1,0.6835443037974683,strict_all_events_gate,79,440,search,original_class
0.23481781376518218,0.0,1,0.23481781376518218,event_weighted_coverage,90,741,shell,original_class
0.2448983732317066,0.0,1,0.2448983732317066,instance_weighted_coverage,90,741,shell,original_class
0.0,0.0,1,0.0,strict_all_events_gate,90,741,shell,original_class
0.10194174757281553,0.0,1,0.10194174757281553,event_weighted_coverage,53,206,test,original_class
0.06890702282092984,0.0,1,0.06890702282092984,instance_weighted_coverage,53,206,test,original_class
0.0,0.0,1,0.0,strict_all_events_gate,53,206,test,original_class
0.4672686230248307,0.0,1,0.4672686230248307,event_weighted_coverage,94,443,traversal,original_class
0.5581399494367214,0.0,1,0.5581399494367214,instance_weighted_coverage,94,443,traversal,original_class
0.2553191489361702,0.0,1,0.2553191489361702,strict_all_events_gate,94,443,traversal,original_class
0.9033078880407125,0.0,1,0.9033078880407125,event_weighted_coverage,89,393,write,original_class
0.8970126627429998,0.0,1,0.8970126627429998,instance_weighted_coverage,89,393,write,original_class
0.7640449438202247,0.0,1,0.7640449438202247,strict_all_events_gate,89,393,write,original_class
0.7033195020746889,0.18672199170124415,2,0.7051867219917013,event_weighted_coverage,106,4820,,all
0.6823161641344507,0.21133486951029345,2,0.6844295128295537,instance_weighted_coverage,106,4820,,all
0.0,0.0,2,0.0,strict_all_events_gate,106,4820,,all
