suite,repository,completed_instances,resolved_instances,unresolved_instances,resolved_rate_percent
lite,astropy/astropy,2,1,1,50.0
lite,django/django,10,2,8,20.0
lite,matplotlib/matplotlib,4,0,4,0.0
lite,mwaskom/seaborn,3,1,2,33.33333333333333
lite,pallets/flask,3,0,3,0.0
lite,psf/requests,3,2,1,66.66666666666666
lite,pydata/xarray,3,1,2,33.33333333333333
lite,pytest-dev/pytest,1,1,0,100.0
lite,scikit-learn/scikit-learn,1,0,1,0.0
lite,sphinx-doc/sphinx,1,0,1,0.0
lite,sympy/sympy,1,0,1,0.0
verified,astropy/astropy,2,0,2,0.0
verified,django/django,9,2,7,22.22222222222222
verified,matplotlib/matplotlib,4,1,3,25.0
verified,mwaskom/seaborn,2,0,2,0.0
verified,pallets/flask,1,1,0,100.0
verified,psf/requests,2,1,1,50.0
verified,pydata/xarray,3,2,1,66.66666666666666
verified,pylint-dev/pylint,1,0,1,0.0
verified,pytest-dev/pytest,2,1,1,50.0
verified,scikit-learn/scikit-learn,1,1,0,100.0
verified,sphinx-doc/sphinx,1,0,1,0.0
verified,sympy/sympy,1,1,0,100.0
