provider,suite,instance_id,sweep,downstream_setting,value,is_shared_baseline,cell_id,trajectory_wall_seconds,official_evaluation_seconds,official_resolved,official_unresolved,empty_patch,agent_returncode,evaluator_returncode,source_file,source_sha256
modal,lite,astropy__astropy-12907,maximum_calls,agent.model.per_instance_call_limit,10,False,lite-sweep-calls10,214,0,0,0,1,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,maximum_calls,agent.model.per_instance_call_limit,20,False,lite-sweep-calls20,876,0,0,0,1,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,maximum_calls,agent.model.per_instance_call_limit,30,True,lite-sweep-baseline,973,77.58,1,0,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,maximum_calls,agent.model.per_instance_call_limit,50,False,lite-sweep-calls50,225,86.97,1,0,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,maximum_output_tokens,completion_kwargs.max_tokens,512,False,lite-sweep-tokens512,249,87.27,0,1,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,maximum_output_tokens,completion_kwargs.max_tokens,1024,False,lite-sweep-tokens1024,214,91.11,0,1,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,maximum_output_tokens,completion_kwargs.max_tokens,2048,True,lite-sweep-baseline,973,77.58,1,0,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,maximum_output_tokens,completion_kwargs.max_tokens,4096,False,lite-sweep-tokens4096,315,86.97,1,0,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,observation_length,agent.templates.max_observation_length,10000,False,lite-sweep-observation10k,244,86.31,0,1,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,observation_length,agent.templates.max_observation_length,25000,False,lite-sweep-observation25k,195,86.34,1,0,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,observation_length,agent.templates.max_observation_length,50000,False,lite-sweep-observation50k,196,86.52,1,0,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,observation_length,agent.templates.max_observation_length,100000,True,lite-sweep-baseline,973,77.58,1,0,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,temperature,agent.model.temperature,0.0,True,lite-sweep-baseline,973,77.58,1,0,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,temperature,agent.model.temperature,0.2,False,lite-sweep-temp02,360,107.11,0,1,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,temperature,agent.model.temperature,0.5,False,lite-sweep-temp05-retry,259,82.12,1,0,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
modal,lite,astropy__astropy-12907,temperature,agent.model.temperature,0.8,False,lite-sweep-temp08-retry,283,87.73,0,1,0,0,0,project/MODAL_LITE_SWEEP_MEASURED.json,d0ebfd128d7ffdbf160fd758ea1e47c603d177dc2f4f5b7346bf1c53b8c0a499
