case_id,panel_case_id,candidate_id,instance_id,suite,repository,official_resolved,submitted,exit_status,runner_failure_class,agent_elapsed_ms,api_calls,tokens_sent,tokens_received,attempt_id,attempt_no,worker_id,result_sha256,failed_result_sha256,outcome_basis,adjudication_sha256
configuration-confirmation-case-v1:069d50529806cc093f2f48c77ff086ce48757017c38d3269ee02c2a073b4bc6d,configuration-confirmation-panel-v1:7594c33b47585c72b06db97a3d7962c3e18127c7094525cade23133b8f229ae3,expanded-call50-input61440,pydata__xarray-4094,lite,pydata/xarray,True,True,submitted (exit_cost),none,383935.111708,51,967107,2893,attempt-a112d36bf4997078-001-b2ad842bc7a8,1,worker-15,a5b34a15a679770bbde64ba1552ca6e17e19c35131487b700b59f19a549c24eb,,queue_accepted,
configuration-confirmation-case-v1:076638a54768ab1cf3b10546122e758ea9146ed994f50d03c01b91adf64f4920,configuration-confirmation-panel-v1:8bfeed73d2a0e55fd530a628cf72ccdb3d9361813585b754820bef0a5cdd32ce,expanded-call100-input61440,sphinx-doc__sphinx-8435,lite,sphinx-doc/sphinx,False,True,submitted (exit_context),none,382583.068137,92,2370833,5737,attempt-cc10501d7abe2f15-001-6d3560a02732,1,worker-16,859e6d9feae06f21cae4e6ed6461b910293b8edfa731b9c0630d23d41567539a,,queue_accepted,
configuration-confirmation-case-v1:07c9f7b1ffc2e3eb75417580c4a6c9285fb20c855c660e3dd29410e383046bd6,configuration-confirmation-panel-v1:d2ccb84e0d32a0cfb8fdb83da8b8904b46a40a4e80cbeabc0b8029bb73fe5230,expanded-call100-input61440-observation25000,sphinx-doc__sphinx-8595,verified,sphinx-doc/sphinx,True,True,submitted,none,121717.386747,37,538608,2058,attempt-acd701896d4f9e76-001-9920501c0310,1,worker-20,16e05fea2b6dd1ea68eb6bf85570a63a7686e2090e98171eb6f21de4f22ec9cb,,queue_accepted,
configuration-confirmation-case-v1:0deac53a944477e888486bbfe1a8d5bf98d30ca6bae4e65c9c2c608f81bda9a8,configuration-confirmation-panel-v1:a8532f8311fd1086cf20d5f508d4b8a347efb9f40371f042295a5b01ba40b824,historical-control-call30-input32768,sympy__sympy-21379,verified,sympy/sympy,False,True,submitted (exit_cost),none,103030.033714,31,313195,1302,attempt-ad89d64dd9613be7-002-a40658d2c1a6,2,worker-19,a8b19982f2afdf0bd59e924dec163bfddd31c56c9bce5d3c7c52dbf0c82966da,,queue_accepted,
configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,configuration-confirmation-panel-v1:00efed54ac41885f1d56f236e9b2a066b5420bcfbeed2794699f465b41608ca1,expanded-call50-input61440,django__django-7530,verified,django/django,True,True,submitted,none,169018.22932,47,1055196,6237,attempt-dddeec59472fb4a5-003-327614fb2bea,3,worker-19,10bb30968b01ed1eeb71013fb14f4e462d66e705e6c7aea786aec6c1d5e7b439,,queue_accepted,
configuration-confirmation-case-v1:15b0210f40eb93e659e5dc9819a07ef9f004cb0a78b26b5919a2b31cd1d34c55,configuration-confirmation-panel-v1:cd294a7f195b10db1c4545ac064e23bdafdd13f565927bb976c7b8b074fd3845,historical-control-call30-input32768,pytest-dev__pytest-6197,verified,pytest-dev/pytest,False,True,submitted (exit_cost),none,100051.37658,31,317983,1875,attempt-8e68527c2c4e2173-001-00439a42d7e2,1,worker-20,6c3732e74e57acc83a938e5c924e33c20eee94b18d601658b9a6fd70388a809a,,queue_accepted,
configuration-confirmation-case-v1:1d89459759d8df8c3750d1358e578bb88aea0e782820867580b6b03ce681c6b9,configuration-confirmation-panel-v1:e9635044606e93d3c074d8fe94bd9ff6891a7e300fa28ab1e19635fe90f61e1d,historical-control-call30-input32768,matplotlib__matplotlib-24637,verified,matplotlib/matplotlib,False,True,submitted (exit_cost),none,94814.069029,31,359454,882,attempt-4ad03b788f2d1d29-001-8ce28902f9e3,1,worker-20,f01b55a972161b46abb74522798474469025c901982f150da0983ff78b783ffe,,queue_accepted,
configuration-confirmation-case-v1:1e6f7b180f80f0780913da99dd04f4dd1a5961d84d2c1331d48fa1d7bf7c4a72,configuration-confirmation-panel-v1:11f731ff5c16934701a8c0f7ec6356cfa76a83bd97c5ca107bec790020f8909b,expanded-call100-input61440,django__django-13321,lite,django/django,False,True,submitted,none,166219.211827,39,707811,2318,attempt-31e0775fd1e94eca-001-2bf003cd4d59,1,worker-17,fa118a80141c9f8f5fb303f37aaff7edfe1ffd0cb8ffcc3671f25260c03d1259,,queue_accepted,
configuration-confirmation-case-v1:21cc95c9213b4fa42e4fc5e9652114996ebec9ff9a53d72ab892a87f690ad530,configuration-confirmation-panel-v1:0fd1695597c82ff4f7bd3d4c0038e6b2e048130f7810aa78e924436efc53856f,expanded-call100-input61440,scikit-learn__scikit-learn-14092,lite,scikit-learn/scikit-learn,True,True,submitted,none,206814.146699,55,947078,3398,attempt-efbd493940eb1875-002-3b6e4ccf8496,2,worker-20,b4eeb2b230bde25222d2d8042855f1c4a8963d6bc9d6be605f94e0ccab228a74,,queue_accepted,
configuration-confirmation-case-v1:26704e7d91e2df8e0b5536a02d24b1dc5c77f8196ded0af5382a75c3b97d58d7,configuration-confirmation-panel-v1:00efed54ac41885f1d56f236e9b2a066b5420bcfbeed2794699f465b41608ca1,expanded-call100-input61440,django__django-7530,verified,django/django,True,True,submitted,none,183266.92405,35,716230,3382,attempt-dec1a8cf7f3cb122-001-4aa232a1276a,1,worker-22,c398e344537c4738aca8c225cd29f8c6cb672cc1709ad5cf9c16b2e5850bd6a1,,queue_accepted,
