group_name,group_value,n_runs,n_instance_clusters,mean_e2e_s,mean_tool_wall_s,mean_model_proxy_wall_s,summed_tool_to_model_proxy_ratio,mean_run_tool_to_model_proxy_ratio,category_definition,scope,cpu_gpu_interpretation
category,astropy/astropy,34,20,167.739,20.376,44.459,0.458308,0.493355,category unavailable in train view; repository used as the retained category-like grouping,"train_calibration only; incomplete historical proxy, not production or whole historical baseline",tool/model proxy walls only; not CPU/GPU hardware or native GPU phase timing
category,django/django,352,235,157.081,15.572,52.434,0.296978,0.347638,category unavailable in train view; repository used as the retained category-like grouping,"train_calibration only; incomplete historical proxy, not production or whole historical baseline",tool/model proxy walls only; not CPU/GPU hardware or native GPU phase timing
category,matplotlib/matplotlib,66,38,173.143,24.128,39.087,0.617305,0.825194,category unavailable in train view; repository used as the retained category-like grouping,"train_calibration only; incomplete historical proxy, not production or whole historical baseline",tool/model proxy walls only; not CPU/GPU hardware or native GPU phase timing
category,mwaskom/seaborn,5,5,165.237,19.512,41.034,0.475520,0.463041,category unavailable in train view; repository used as the retained category-like grouping,"train_calibration only; incomplete historical proxy, not production or whole historical baseline",tool/model proxy walls only; not CPU/GPU hardware or native GPU phase timing
category,pallets/flask,4,4,134.582,8.740,40.147,0.217700,0.244089,category unavailable in train view; repository used as the retained category-like grouping,"train_calibration only; incomplete historical proxy, not production or whole historical baseline",tool/model proxy walls only; not CPU/GPU hardware or native GPU phase timing
category,psf/requests,10,9,237.733,17.293,39.979,0.432547,0.420929,category unavailable in train view; repository used as the retained category-like grouping,"train_calibration only; incomplete historical proxy, not production or whole historical baseline",tool/model proxy walls only; not CPU/GPU hardware or native GPU phase timing
category,pydata/xarray,29,17,149.091,31.935,37.763,0.845654,0.771146,category unavailable in train view; repository used as the retained category-like grouping,"train_calibration only; incomplete historical proxy, not production or whole historical baseline",tool/model proxy walls only; not CPU/GPU hardware or native GPU phase timing
category,pylint-dev/pylint,14,13,151.973,25.504,50.219,0.507848,0.568054,category unavailable in train view; repository used as the retained category-like grouping,"train_calibration only; incomplete historical proxy, not production or whole historical baseline",tool/model proxy walls only; not CPU/GPU hardware or native GPU phase timing
category,pytest-dev/pytest,20,19,138.040,18.152,42.562,0.426483,0.483637,category unavailable in train view; repository used as the retained category-like grouping,"train_calibration only; incomplete historical proxy, not production or whole historical baseline",tool/model proxy walls only; not CPU/GPU hardware or native GPU phase timing
category,scikit-learn/scikit-learn,66,34,127.747,24.831,42.265,0.587513,0.625156,category unavailable in train view; repository used as the retained category-like grouping,"train_calibration only; incomplete historical proxy, not production or whole historical baseline",tool/model proxy walls only; not CPU/GPU hardware or native GPU phase timing
category,sphinx-doc/sphinx,71,46,140.748,15.022,41.340,0.363382,0.391411,category unavailable in train view; repository used as the retained category-like grouping,"train_calibration only; incomplete historical proxy, not production or whole historical baseline",tool/model proxy walls only; not CPU/GPU hardware or native GPU phase timing
category,sympy/sympy,148,105,112.747,14.993,43.528,0.344455,0.370167,category unavailable in train view; repository used as the retained category-like grouping,"train_calibration only; incomplete historical proxy, not production or whole historical baseline",tool/model proxy walls only; not CPU/GPU hardware or native GPU phase timing
