pair_id,parameter,setting,baseline_e2e_s,treatment_e2e_s,delta_treatment_minus_baseline_s,baseline_resolved,treatment_resolved
7524aa55ed93,call_limit,10,210.457675,83.489931,-126.967743,false,false
7524aa55ed93,call_limit,20,210.457675,93.281663,-117.176012,false,false
7524aa55ed93,call_limit,50,210.457675,162.707921,-47.749754,false,false
3f2610c9e66a,call_limit,10,191.193579,77.242157,-113.951422,true,false
3f2610c9e66a,call_limit,20,191.193579,152.421953,-38.771626,true,true
3f2610c9e66a,call_limit,50,191.193579,259.309751,68.116172,true,true
d27d7a81ce69,call_limit,10,97.958238,46.608905,-51.349333,false,false
d27d7a81ce69,call_limit,20,97.958238,82.561307,-15.396931,false,false
d27d7a81ce69,call_limit,50,97.958238,127.128462,29.170224,false,false
7b5b1d1f12e3,call_limit,10,111.223839,61.130055,-50.093784,true,false
7b5b1d1f12e3,call_limit,20,111.223839,93.952206,-17.271633,true,true
7b5b1d1f12e3,call_limit,50,111.223839,116.294249,5.070411,true,true
2abc7f116091,call_limit,10,122.462890,80.476646,-41.986244,true,false
2abc7f116091,call_limit,20,122.462890,100.219419,-22.243471,true,true
2abc7f116091,call_limit,50,122.462890,111.209557,-11.253333,true,true
4866fb0948e2,call_limit,10,152.573765,55.529480,-97.044285,true,false
4866fb0948e2,call_limit,20,152.573765,142.070778,-10.502987,true,false
4866fb0948e2,call_limit,50,152.573765,810.683201,658.109435,true,true
64afa1678c1f,call_limit,10,1347.129159,54.287267,-1292.841892,false,false
64afa1678c1f,call_limit,20,1347.129159,127.736821,-1219.392338,false,false
64afa1678c1f,call_limit,50,1347.129159,149.571434,-1197.557726,false,false
509039418ed9,call_limit,10,116.153768,70.250792,-45.902976,true,false
509039418ed9,call_limit,20,116.153768,110.574173,-5.579595,true,true
509039418ed9,call_limit,50,116.153768,236.100070,119.946302,true,true
7666f43ecb5e,call_limit,10,109.245458,46.552264,-62.693194,true,false
7666f43ecb5e,call_limit,20,109.245458,76.916161,-32.329296,true,true
7666f43ecb5e,call_limit,50,109.245458,178.714757,69.469300,true,true
b7b17a1cef28,call_limit,10,228.009102,60.194541,-167.814562,true,false
b7b17a1cef28,call_limit,20,228.009102,111.940274,-116.068828,true,true
b7b17a1cef28,call_limit,50,228.009102,139.282481,-88.726621,true,true
53cb4f1183e3,call_limit,10,192.600731,261.178327,68.577596,true,false
53cb4f1183e3,call_limit,20,192.600731,175.174775,-17.425955,true,false
53cb4f1183e3,call_limit,50,192.600731,217.847666,25.246936,true,true
6c637725ea1a,call_limit,10,103.082299,57.865043,-45.217256,false,false
6c637725ea1a,call_limit,20,103.082299,57.898185,-45.184114,false,false
6c637725ea1a,call_limit,50,103.082299,181.999589,78.917290,false,false
20fe1616e94f,call_limit,10,126.836884,79.447603,-47.389282,true,false
20fe1616e94f,call_limit,20,126.836884,86.476104,-40.360780,true,true
20fe1616e94f,call_limit,50,126.836884,165.169505,38.332621,true,true
ba9747eb6dbb,call_limit,10,99.978445,63.309372,-36.669073,true,false
ba9747eb6dbb,call_limit,20,99.978445,95.409502,-4.568944,true,true
ba9747eb6dbb,call_limit,50,99.978445,122.508509,22.530064,true,true
c54ac09d37dc,call_limit,10,115.495504,77.509454,-37.986050,true,false
c54ac09d37dc,call_limit,20,115.495504,73.548069,-41.947435,true,true
c54ac09d37dc,call_limit,50,115.495504,110.602803,-4.892700,true,true
7ceebcf57445,call_limit,10,89.869912,62.690237,-27.179676,true,false
7ceebcf57445,call_limit,20,89.869912,94.695000,4.825087,true,true
7ceebcf57445,call_limit,50,89.869912,120.999235,31.129323,true,true
a4778bb7df2a,call_limit,10,89.287084,57.957742,-31.329342,true,false
a4778bb7df2a,call_limit,20,89.287084,69.715142,-19.571942,true,true
a4778bb7df2a,call_limit,50,89.287084,144.525268,55.238184,true,true
37cd3cd4914b,call_limit,10,114.328900,51.920754,-62.408146,false,false
37cd3cd4914b,call_limit,20,114.328900,81.997280,-32.331619,false,false
37cd3cd4914b,call_limit,50,114.328900,112.813626,-1.515273,false,false
7524aa55ed93,max_output_tokens,1024,210.457675,149.027619,-61.430056,false,false
7524aa55ed93,max_output_tokens,4096,210.457675,229.163368,18.705693,false,false
7524aa55ed93,max_output_tokens,512,210.457675,124.126142,-86.331533,false,false
3f2610c9e66a,max_output_tokens,1024,191.193579,129.466305,-61.727274,true,false
3f2610c9e66a,max_output_tokens,4096,191.193579,205.895923,14.702344,true,false
3f2610c9e66a,max_output_tokens,512,191.193579,130.813337,-60.380242,true,false
d27d7a81ce69,max_output_tokens,1024,97.958238,137.225437,39.267199,false,false
d27d7a81ce69,max_output_tokens,4096,97.958238,122.522297,24.564059,false,false
d27d7a81ce69,max_output_tokens,512,97.958238,118.060563,20.102325,false,false
7b5b1d1f12e3,max_output_tokens,1024,111.223839,129.713781,18.489942,true,true
7b5b1d1f12e3,max_output_tokens,4096,111.223839,238.227418,127.003580,true,true
7b5b1d1f12e3,max_output_tokens,512,111.223839,96.163407,-15.060432,true,true
2abc7f116091,max_output_tokens,1024,122.462890,121.684283,-0.778607,true,true
2abc7f116091,max_output_tokens,4096,122.462890,128.507875,6.044984,true,true
2abc7f116091,max_output_tokens,512,122.462890,98.913712,-23.549178,true,true
4866fb0948e2,max_output_tokens,1024,152.573765,102.008853,-50.564913,true,true
4866fb0948e2,max_output_tokens,4096,152.573765,113.144564,-39.429201,true,false
4866fb0948e2,max_output_tokens,512,152.573765,100.786737,-51.787029,true,true
64afa1678c1f,max_output_tokens,1024,1347.129159,136.024298,-1211.104861,false,false
64afa1678c1f,max_output_tokens,4096,1347.129159,148.807637,-1198.321522,false,false
64afa1678c1f,max_output_tokens,512,1347.129159,103.985260,-1243.143899,false,false
509039418ed9,max_output_tokens,1024,116.153768,134.147166,17.993398,true,true
509039418ed9,max_output_tokens,4096,116.153768,133.147952,16.994184,true,true
509039418ed9,max_output_tokens,512,116.153768,185.210599,69.056831,true,true
7666f43ecb5e,max_output_tokens,1024,109.245458,141.890391,32.644933,true,true
7666f43ecb5e,max_output_tokens,4096,109.245458,135.239437,25.993980,true,true
7666f43ecb5e,max_output_tokens,512,109.245458,113.918075,4.672617,true,true
b7b17a1cef28,max_output_tokens,1024,228.009102,103.246590,-124.762512,true,true
b7b17a1cef28,max_output_tokens,4096,228.009102,224.702276,-3.306826,true,true
b7b17a1cef28,max_output_tokens,512,228.009102,98.134563,-129.874539,true,false
53cb4f1183e3,max_output_tokens,1024,192.600731,174.763909,-17.836822,true,true
53cb4f1183e3,max_output_tokens,4096,192.600731,418.836239,226.235508,true,true
53cb4f1183e3,max_output_tokens,512,192.600731,235.604668,43.003937,true,false
6c637725ea1a,max_output_tokens,1024,103.082299,102.849055,-0.233244,false,false
6c637725ea1a,max_output_tokens,4096,103.082299,116.152348,13.070049,false,false
6c637725ea1a,max_output_tokens,512,103.082299,95.158115,-7.924184,false,false
20fe1616e94f,max_output_tokens,1024,126.836884,109.044745,-17.792139,true,true
20fe1616e94f,max_output_tokens,4096,126.836884,114.947174,-11.889710,true,true
20fe1616e94f,max_output_tokens,512,126.836884,144.003035,17.166151,true,true
ba9747eb6dbb,max_output_tokens,1024,99.978445,106.749369,6.770923,true,true
ba9747eb6dbb,max_output_tokens,4096,99.978445,102.266185,2.287740,true,true
ba9747eb6dbb,max_output_tokens,512,99.978445,113.866145,13.887700,true,true
c54ac09d37dc,max_output_tokens,1024,115.495504,109.182617,-6.312887,true,true
c54ac09d37dc,max_output_tokens,4096,115.495504,91.517165,-23.978339,true,true
c54ac09d37dc,max_output_tokens,512,115.495504,78.959258,-36.536246,true,false
7ceebcf57445,max_output_tokens,1024,89.869912,113.560886,23.690973,true,true
7ceebcf57445,max_output_tokens,4096,89.869912,95.450601,5.580689,true,true
7ceebcf57445,max_output_tokens,512,89.869912,92.542266,2.672354,true,true
a4778bb7df2a,max_output_tokens,1024,89.287084,98.398765,9.111681,true,true
a4778bb7df2a,max_output_tokens,4096,89.287084,96.088705,6.801621,true,true
a4778bb7df2a,max_output_tokens,512,89.287084,88.273354,-1.013730,true,false
37cd3cd4914b,max_output_tokens,1024,114.328900,104.750549,-9.578351,false,false
37cd3cd4914b,max_output_tokens,4096,114.328900,95.528684,-18.800215,false,false
37cd3cd4914b,max_output_tokens,512,114.328900,104.173229,-10.155670,false,false
7524aa55ed93,observation_length,10000,210.457675,125.149267,-85.308408,false,false
7524aa55ed93,observation_length,25000,210.457675,113.627953,-96.829721,false,false
7524aa55ed93,observation_length,50000,210.457675,133.099891,-77.357784,false,false
3f2610c9e66a,observation_length,10000,191.193579,143.485993,-47.707587,true,true
3f2610c9e66a,observation_length,25000,191.193579,149.486206,-41.707373,true,true
3f2610c9e66a,observation_length,50000,191.193579,150.348174,-40.845405,true,true
d27d7a81ce69,observation_length,10000,97.958238,127.817411,29.859173,false,false
d27d7a81ce69,observation_length,25000,97.958238,124.288069,26.329831,false,false
d27d7a81ce69,observation_length,50000,97.958238,112.894157,14.935918,false,false
7b5b1d1f12e3,observation_length,10000,111.223839,113.241064,2.017226,true,true
7b5b1d1f12e3,observation_length,25000,111.223839,210.141596,98.917757,true,true
7b5b1d1f12e3,observation_length,50000,111.223839,120.441597,9.217759,true,true
2abc7f116091,observation_length,10000,122.462890,94.121472,-28.341419,true,true
2abc7f116091,observation_length,25000,122.462890,121.485270,-0.977620,true,true
2abc7f116091,observation_length,50000,122.462890,101.920731,-20.542159,true,true
4866fb0948e2,observation_length,10000,152.573765,132.262803,-20.310963,true,false
4866fb0948e2,observation_length,25000,152.573765,150.857545,-1.716220,true,true
4866fb0948e2,observation_length,50000,152.573765,107.326243,-45.247522,true,false
64afa1678c1f,observation_length,10000,1347.129159,1068.478220,-278.650939,false,false
64afa1678c1f,observation_length,25000,1347.129159,172.175632,-1174.953528,false,false
64afa1678c1f,observation_length,50000,1347.129159,170.218148,-1176.911011,false,false
509039418ed9,observation_length,10000,116.153768,117.146918,0.993150,true,true
509039418ed9,observation_length,25000,116.153768,109.868088,-6.285680,true,true
509039418ed9,observation_length,50000,116.153768,160.517344,44.363576,true,true
7666f43ecb5e,observation_length,10000,109.245458,147.936733,38.691276,true,false
7666f43ecb5e,observation_length,25000,109.245458,165.176128,55.930671,true,true
7666f43ecb5e,observation_length,50000,109.245458,109.400428,0.154971,true,true
b7b17a1cef28,observation_length,10000,228.009102,133.820681,-94.188421,true,false
b7b17a1cef28,observation_length,25000,228.009102,210.954961,-17.054142,true,true
b7b17a1cef28,observation_length,50000,228.009102,119.443154,-108.565948,true,true
53cb4f1183e3,observation_length,10000,192.600731,173.533249,-19.067481,true,true
53cb4f1183e3,observation_length,25000,192.600731,195.684834,3.084103,true,true
53cb4f1183e3,observation_length,50000,192.600731,181.139079,-11.461652,true,true
6c637725ea1a,observation_length,10000,103.082299,105.753705,2.671407,false,false
