instance_id,case_id,attempt_id,event_class,target_boundary,count,sum_observed_ms,interpretation
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,lifecycle:client_processing,client_processing,160,1891.9797140000005,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,lifecycle:deployment_start,startup,1,24225.287761,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,lifecycle:e2e_reconciliation,e2e_reconciliation,1,153117.581093,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,lifecycle:failure,failure,10,0.0,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,lifecycle:get_state,get_state,41,6966.737176999999,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,lifecycle:outer_swe_agent,outer_swe_agent,1,153117.581093,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,lifecycle:persistent_shell_pid_discovery,state_query,1,161.268288,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,lifecycle:runner_process_wrapper,generic_wrapper,1,153117.581093,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,lifecycle:script_read,state_query,5,737.050529,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,lifecycle:setup,setup,1,323.295446,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,lifecycle:startup,startup,1,6196.730146,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,lifecycle:teardown,teardown,1,1068.946646,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,lifecycle:unknown_residual,unknown_residual,284,7303.200237,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,model_client_call,model_client_call,40,87140.80973699999,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,model_request,model_request,40,85718.29096700001,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,native:decode,native_per_request_decode,40,74575.32895635813,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,native:e2e,native_per_request_e2e,40,78120.32628059387,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,native:prefill,native_per_request_prefill,40,3407.418036367744,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,native:queue,native_per_request_queue,40,1.9224761053919792,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,runtime_command,tool_execution,60,14142.779766999998,separate boundary; overlaps other rows; do not sum across classes
django__django-7530,configuration-confirmation-case-v1:11fcd3c59f36c09472479c6794493d546039acf8bc52c3fd372a3d811bcd4132,attempt-001,semantic_action,tool_execution,40,18491.611631000007,separate boundary; overlaps other rows; do not sum across classes
